year,rank,track_name,artist,source_url,scraped_at
2018,1,God's Plan,Drake,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,2,Perfect,Ed Sheeran,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,3,Meant to Be,Bebe Rexha featuring Florida Georgia Line,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,4,Havana,Camila Cabello featuring Young Thug,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,5,Rockstar,Post Malone featuring 21 Savage,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,6,Psycho,Post Malone featuring Ty Dolla Sign,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,7,I Like It,"Cardi B , Bad Bunny and J Balvin",https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,8,The Middle,"Zedd , Maren Morris and Grey",https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,9,In My Feelings,Drake,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,10,Girls Like You,Maroon 5 featuring Cardi B,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,11,Nice for What,Drake,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,12,Lucid Dreams,Juice Wrld,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,13,Better Now,Post Malone,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,14,Finesse,Bruno Mars featuring Cardi B,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,15,Boo'd Up,Ella Mai,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,16,New Rules,Dua Lipa,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,17,Sad!,XXXTentacion,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,18,Never Be the Same,Camila Cabello,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,19,Love Lies,Khalid and Normani,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,20,No Tears Left to Cry,Ariana Grande,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,21,Mine,Bazzi,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,22,Thunder,Imagine Dragons,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,23,Look Alive,BlocBoy JB featuring Drake,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,24,Delicate,Taylor Swift,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
2018,25,Yes Indeed,Lil Baby and Drake,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_2018,2026-06-13T17:20:59+00:00
